City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,longuyon,49.4455,5.6015,8.32,80,100,1.92,FR,1741486931
1,port-aux-francais,-49.35,70.2167,4.84,72,21,16.39,TF,1741486932
2,st. john's,47.5649,-52.7093,-0.02,76,20,7.2,CA,1741486847
3,yamada,39.4667,141.95,5.63,42,97,2.3,JP,1741486934
4,iskateley,67.6803,53.1512,-15.83,96,17,4.51,RU,1741486936
5,panadura,6.7132,79.9026,23.9,85,1,2.05,LK,1741486750
6,invercargill,-46.4,168.35,17.23,65,99,4.02,NZ,1741486938
7,adamstown,-25.066,-130.1015,25.34,80,18,8.31,PN,1741486939
8,bajina basta,43.9708,19.5675,10.29,68,100,1.58,RS,1741486940
9,puerto natales,-51.7236,-72.4875,6.82,82,100,2.01,CL,1741486941
10,yallahs,17.8748,-76.5624,26.85,86,0,3.87,JM,1741486942
11,aberdeen,57.1437,-2.0981,6.26,93,8,0.51,GB,1741486943
12,torghay,49.6339,63.4981,-12.71,90,7,4.73,KZ,1741486944
13,sisimiut,66.9395,-53.6735,-0.6,96,100,5.7,GL,1741486946
14,yuzhno-kurilsk,44.0306,145.8556,-0.92,67,100,4.61,RU,1741486947
15,blackmans bay,-43.0167,147.3167,28.07,42,7,1.98,AU,1741486948
16,jatibonico,21.9419,-79.17,21.72,88,0,1.75,CU,1741486949
17,puerto ayora,-0.7393,-90.3518,25.86,97,34,1.48,EC,1741486950
18,georgetown,5.4112,100.3354,29.96,62,20,3.13,MY,1741486374
19,bethel,41.3712,-73.414,1.63,46,3,2.68,US,1741486952
20,kingston,17.997,-76.7936,26.53,74,20,3.09,JM,1741486745
21,kisangani,0.5167,25.2,21.83,94,100,0.52,CD,1741486955
22,east london,-33.0153,27.9116,24.76,83,26,2.85,ZA,1741486802
23,hadibu,12.65,54.0333,23.41,77,28,1.46,YE,1741486957
24,sombor,45.7742,19.1122,10.1,43,100,3.38,RS,1741486958
25,lock haven,41.137,-77.4469,0.67,56,11,3.97,US,1741486961
26,sao joao da barra,-21.6403,-41.0511,25.06,89,0,4.1,BR,1741486962
27,jesi,43.5288,13.2402,9.4,89,20,1.03,IT,1741486964
28,zyryanskoye,56.8306,86.6258,-14.1,96,78,2.87,RU,1741486965
29,lihue,21.9789,-159.3672,25.77,61,20,7.72,US,1741486966
30,camacupa,-12.0167,17.4833,15.86,98,100,0.9,AO,1741486967
31,waitangi,-43.9535,-176.5597,17.12,69,9,2.24,NZ,1741486968
32,klaksvik,62.2266,-6.589,4.91,90,100,11.45,FO,1741486969
33,fort saskatchewan,53.7168,-113.2187,6.43,88,99,1.7,CA,1741486970
34,olonkinbyen,70.9221,-8.7187,-6.0,64,100,5.71,SJ,1741486971
35,hawaiian paradise park,19.5933,-154.9731,25.73,71,40,4.63,US,1741486973
36,grytviken,-54.2811,-36.5092,1.95,88,22,6.28,GS,1741486974
37,hermanus,-34.4187,19.2345,18.78,85,94,2.26,ZA,1741486956
38,margaret river,-33.95,115.0667,18.28,55,98,4.06,AU,1741486978
39,dunedin,-45.8742,170.5036,15.04,77,100,3.88,NZ,1741486980
40,arteche,12.2645,125.4048,26.94,89,51,5.21,PH,1741486981
41,tofol,5.3248,163.0078,28.32,73,55,9.2,FM,1741486982
42,ilulissat,69.2167,-51.1,-6.99,86,100,3.09,GL,1741486983
43,ushuaia,-54.8,-68.3,5.81,81,0,2.57,AR,1741486767
44,reggane,26.7158,0.1714,22.45,30,0,4.35,DZ,1741486985
45,tiksi,71.6872,128.8694,-27.21,98,56,3.84,RU,1741486987
46,chinde,26.8212,87.7095,21.1,30,3,0.62,NP,1741486988
47,hasaki,35.7333,140.8333,8.7,63,57,10.61,JP,1741486989
48,enewetak,11.3474,162.3373,26.9,78,93,9.99,MH,1741486990
49,haiku-pauwela,20.9219,-156.3051,24.47,82,75,11.18,US,1741486992
50,linton,39.0348,-87.1658,6.04,71,77,1.96,US,1741486937
51,avarua,-21.2078,-159.775,29.03,84,40,4.63,CK,1741486994
52,kharabali,47.4196,47.2568,-0.9,83,6,3.29,RU,1741486995
53,sitia,35.2,26.0986,13.55,68,100,2.3,GR,1741486996
54,west island,-12.1568,96.8225,28.99,89,75,2.06,CC,1741486997
55,paracuru,-3.41,-39.0306,25.16,88,100,3.63,BR,1741486998
56,glazov,58.1394,52.6584,-5.4,96,100,4.21,RU,1741486999
57,lebu,-37.6167,-73.65,14.08,78,1,11.06,CL,1741487001
58,maceio,-9.6658,-35.7353,25.69,83,40,1.54,BR,1741487002
59,bredasdorp,-34.5322,20.0403,19.45,92,10,2.47,ZA,1741487003
60,aasiaat,68.7098,-52.8699,-9.88,94,100,2.47,GL,1741487004
61,stanley,54.868,-1.6985,0.01,100,100,0.51,GB,1741487005
62,edinburgh of the seven seas,-37.0676,-12.3116,15.59,68,90,4.98,SH,1741487006
63,yellowknife,62.456,-114.3525,-24.71,58,0,2.57,CA,1741486747
64,papatowai,-46.5619,169.4708,16.3,67,98,4.01,NZ,1741487009
65,boyolangu,-8.1181,111.8935,26.2,86,92,1.8,ID,1741487011
66,stjordalshalsen,63.4681,10.9262,1.62,86,100,3.6,NO,1741487012
